CellId	Length	Radius	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
252	14.7147	1.59425	0.0977872	0.217576	0.0307384	-79.0148	170.534	-195.395	-91.9557	164.978	-197.732
253	23.1174	1.45982	0.0948831	-0.0607828	0.0256374	-79.5742	172.13	-208.824	-99.6829	171.281	-218.971
254	11.6941	1.50354	0.122332	0.0195302	0.030858	-79.5742	172.13	-208.824	-90.1747	172.865	-204.852
255	4.93023	1.51527	0.040415	0.0494151	0.00105772	-64.2434	195.01	-198.966	-59.9746	197.243	-197.944
256	8.2263	1.79791	0.0597704	-0.347481	0.010935	-64.2434	195.01	-198.966	-69.4456	201.26	-198.681
257	13.0634	1.54235	0.0743391	-0.178681	0.0132653	-77.634	190.745	-199.508	-89.3518	190.686	-204.884
258	26.8679	1.51381	0.127058	-0.0973635	0.0339424	-77.634	190.745	-199.508	-93.3849	197.341	-179.92
259	16.3808	1.49845	0.152035	0.282063	0.0542349	-76.8253	196.374	-216.355	-91.2696	195.237	-221.968
260	22.7486	1.62635	0.0920829	-0.441757	0.0213665	-76.8253	196.374	-216.355	-91.6433	210.623	-224.927
261	6.70106	1.56727	0.0623563	-0.0533976	0.00616734	-67.764	191.725	-221.765	-64.2897	189.841	-227.126
262	15.9374	1.82744	0.0875229	0.0347583	0.0185053	-67.764	191.725	-221.765	-75.8162	203.378	-228.414
263	18.4471	1.51259	0.104065	0.310486	0.0289587	-66.4307	172.297	-170.441	-78.2868	164.865	-159.234
264	18.111	1.5557	0.113624	-0.313683	0.038107	-66.4307	172.297	-170.441	-80.8876	181.544	-167.302
265	17.915	1.55018	0.125594	-0.00333848	0.0388373	-59.368	187.45	-160.841	-62.8339	186.821	-143.959
266	25.2548	1.54081	0.116657	-0.096103	0.0360416	-59.368	187.45	-160.841	-70.9939	201.049	-144.284
267	5.67549	1.88686	0.0885493	0	0.0464256	-53.2393	197.978	-170.677	-55.7879	202.76	-170.906
268	8.5201	1.65194	0.105138	0.0628429	0.0370567	-53.2393	197.978	-170.677	-50.0005	201.813	-164.174
269	7.68033	1.59217	0.149195	-0.131089	0.0569809	-54.342	153.05	-159.078	-58.5523	151.934	-153.262
270	16.8439	1.56216	0.124894	-0.4775	0.0306332	-54.342	153.05	-159.078	-52.7778	141.074	-148.067
271	23.0914	1.50335	0.141759	-0.278646	0.0261345	-44.5032	170.054	-138.861	-36.1427	183.599	-122.953
272	20.8194	1.47532	0.208688	-0.143673	0.0245873	-44.5032	170.054	-138.861	-43.4821	164.033	-119.48
273	12.1088	1.56301	0.150751	0.0321926	0.0549767	-40.1631	159.491	-155.32	-38.7875	151.717	-146.988
