CellId	Radius	Length	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
340	1.53744	5.89126	0.129991	0.593963	0.0179921	39.5485	124.665	-222.535	34.3769	122.164	-223.233
341	1.88443	8.95623	0.101329	-0.417127	0.0234234	57.9119	133.393	-216.895	58.8259	124.7	-217.324
342	1.57122	35.402	0.0828106	-0.0789139	0.0409813	58.8259	124.7	-217.324	69.2789	95.4801	-231.235
343	1.45998	9.32394	0.0932851	0.212948	0.0137249	88.2488	114.567	-170.595	88.2231	112.175	-161.713
344	1.4312	9.43919	0.121858	0.0385892	0.0252095	88.2231	112.175	-161.713	88.6755	104.89	-156.101
345	1.45203	8.26974	0.11263	0.147001	0.0184519	88.2231	112.175	-161.713	88.2034	118.721	-156.909
346	1.59256	19.531	0.16815	-0.076501	0.0591068	54.8304	173.32	-140.253	57.5177	174.923	-122.079
347	1.60463	3.55247	0.254698	0	0.0385533	57.5177	174.923	-122.079	55.6304	174.28	-119.299
348	1.54094	3.29719	0.076363	0	0.00402391	57.5177	174.923	-122.079	60.2216	175.545	-120.322
349	1.50769	7.5018	0.121096	2.44766	0.0241689	65.2198	188.859	-178.573	66.5721	188.513	-185.764
350	1.52117	16.0645	0.119459	-0.0417883	0.0570528	66.5721	188.513	-185.764	67.8731	203.133	-189.706
351	1.42835	13.481	0.12293	0.371312	0.0373848	66.5721	188.513	-185.764	65.9665	179.319	-194.927
352	1.56703	19.2713	0.0910721	-0.193906	0.0452001	74.8438	166.36	-181.234	92.0897	172.837	-180.472
353	1.51179	14.554	0.197886	0.22861	0.0968749	92.0897	172.837	-180.472	104.425	171.741	-175.709
354	1.61567	14.6682	0.134903	0.0907084	0.0374047	92.0897	172.837	-180.472	106.179	173.105	-181.624
355	1.82271	7.81232	0.0524772	2.68772	0.00841024	-64.2489	194.859	-199.021	-69.1982	200.81	-198.681
356	1.58468	42.7223	0.0746172	-0.332283	0.0306174	-69.1982	200.81	-198.681	-92.9992	232.438	-210.99
