source_filename,sha256,manufacturer,page_count,pages_with_candidates,candidate_count,ordering_heading_pages,matrix_pages,high_risk,review_method,accepted_new_products,existing_exact,existing_alias_or_format_variant,previously_accounted_csv,duplicate_source_occurrence,needs_owner_review,relevant_but_insufficient_identity,relevant_family_level_only,source_evidence_conflicted,irrelevant_to_current_scope,not_a_product_identifier
novatech__stents_pulmonares__catalogo.pdf,792f87fb3a1b36dabe3f2845ca7b9a5f410c7a20a551fe3d393c8732399db210,Novatech,20,6,152,2,3,true,corpus_text_extraction,141,7,0,0,0,0,0,0,0,0,4
shiley-flex-taperguard-cuff-sizing-guide.pdf,ee3c1dad32025a8e0382335066e152c95a917e12b6b60799ee2a119402a1419d,Medtronic,3,3,17,1,1,true,corpus_text_extraction,0,0,0,0,0,10,1,0,0,0,6
shiley-flexible-adult-tracheostomy-tubes-brochure copy.pdf,2f951318ef77c1a128099a5b659451ce057fa595e7ae7736f3f158b97ebe63b8,Medtronic,7,5,57,0,3,true,corpus_text_extraction,0,4,0,17,36,0,0,0,0,0,0
shiley-flexible-adult-tracheostomy-tubes-brochure.pdf,2f951318ef77c1a128099a5b659451ce057fa595e7ae7736f3f158b97ebe63b8,Medtronic,7,5,57,0,3,true,corpus_text_extraction,0,4,1,17,13,16,0,0,1,0,5
shiley-flexible-adult-tracheostomy-tubes-comparison-information-sheet.pdf,9116b26e9ccc4869bc0cc772eb73d500c4161c4048c34f5a8055a379e82a38d9,Medtronic,2,2,59,0,2,true,corpus_text_extraction,0,4,0,17,13,16,0,0,1,0,8
shiley-flexible-tracheostomy-a-sku-sizing-information-sheet.pdf,4ffe5f0269838b2b83ad2d39b949c6f52ce4a3b04108ccc2b2b14c2f0d0cd1b5,Medtronic,2,1,41,0,1,true,corpus_text_extraction,0,4,0,17,13,0,0,0,1,0,6
shiley-flexible-tracheostomy-enhanced-portfolio-comparison-guide.pdf,dff660c435161f6db3df548bb2c3960a9331a9d77059902cf4f3c0bef4b7d87e,Medtronic,4,2,5,0,0,false,corpus_text_extraction,0,0,0,0,0,1,0,0,0,0,4
shiley-flexible-tracheostomy-tube-customer-brochure.pdf,19dbf065c41b40957d93e47602140978ce2c0139b719c41da8fc0f2c86015649,Medtronic,4,2,5,0,0,false,corpus_text_extraction,0,0,0,0,0,1,0,0,0,0,4
shiley-speaking-valves-product-brochure.pdf,a4437c412d08bdde1d241f709f881b2b5a910acc07ee8259038a162d43a1b943,Medtronic,8,4,6,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,6
shiley-xlt-extended-length-tracheostomy-tubes-brochure.pdf,0090c7bdbebc6dfbcae25a4c1c623767a514cdbb729d8a61c3f7d5d6adf74558,Medtronic,2,2,31,1,1,true,corpus_text_extraction,0,8,0,4,8,0,0,0,0,0,11
tracheostomy-tubes-accessories-reimbursement-coding-guide.pdf,1428450fb79dc9794e21b452f21aea109e38b936d5d91b45a2d61a6d18e15b34,Medtronic,8,4,20,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,20
