product_id,manufacturer,product_name,catalog_number,source_primary_category,source_subcategory,device_class_code,device_class_label_en,device_subtype_code,device_subtype_label_en,taxonomy_confidence,needs_review,classification_basis,role_codes,procedure_codes
PRD-7B69AB81B4,Richard Wolf,HEMER Bronchoscope Tube Bundle,8214.0841,Rigid bronchoscopy,Rigid bronchoscope/tracheoscope tube,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-7CDBD7C74A,Richard Wolf,"Endobronchial Resector, Aggressive",825630546,Rigid bronchoscopy,Rigid bronchoscopic shaver instrument,powered_shaver,Powered shaver or debrider,shaver_instrument,Shaver resector instrument,high,false,pair_rule,RIGID_BRONCH_SHAVER,RIGID_BRONCH
PRD-7DC3645CFA,ERBE,Flexible Cryoprobe 1.7 mm,20402-410,Therapeutic bronchoscopy,Flexible cryoprobe,cryotherapy,Cryotherapy device,flexible_cryoprobe,Flexible cryoprobe,high,false,pair_rule,CRYOPROBE_FLEX,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-7E05B194BE,Ambu,Ambu aView 2 Advance,405011000,Endoscopy platform,Display and processing unit,console_capital,Console or capital equipment,video_processor,Video processor,high,false,pair_rule,VIDEO_PROCESSOR,EBUS_TBNA|EBV|FLEX_DIAGNOSTIC|ICU_BRONCH|MED_THORACOSCOPY|PERC_TRACH|RIGID_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH|WLL
PRD-7E9D9CEC94,Richard Wolf,ERAGONbipolar Forceps Bundle,82340014,Endoscopy platform,Rigid bipolar forceps component,electrosurgical,Electrosurgical or APC device,bipolar_instrument_component,Bipolar instrument component,high,false,pair_rule,RIGID_BIPOLAR_FORCEPS,RIGID_BRONCH
PRD-8106E78F85,Olympus,TC-C4 Series Workstation Set,K10029894,Endoscopy platform,Platform accessory,console_capital,Console or capital equipment,endoscopy_workstation,Endoscopy workstation or cart,moderate,false,name_rule,ENDOSCOPY_CART,
PRD-81331808E3,Boston Scientific,Cellebrity Single-Use Cytology Brush,M00516011,Sampling,Cytology brush,cytology_brush,Cytology brush,pulmonary_cytology_brush,Pulmonary cytology brush,high,false,pair_rule,CYTOLOGY_BRUSH,FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT
PRD-815DC29EF1,Auris Health (Johnson & Johnson),Monarch Cytology Brush,MBR-000015,Peripheral navigation,Pulmonary cytology brush,cytology_brush,Cytology brush,pulmonary_cytology_brush,Pulmonary cytology brush,high,false,pair_rule,CYTOLOGY_BRUSH,
PRD-81DDCD50B9,Karl Storz,Spring-Handle Sponge Holder 35 cm,10387B,Rigid bronchoscopy,Rigid bronchoscopy accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-83A71310E6,Auris Health (Johnson & Johnson),Monarch Bronchoscope,MBR-000211-A,Peripheral navigation,Robotic bronchoscope,bronchoscope,Bronchoscope,robotic_bronchoscope,Robotic bronchoscope,high,false,pair_rule,ROBOTIC_BRONCHOSCOPE,
