product_id,manufacturer,product_name,catalog_number,source_primary_category,source_subcategory,device_class_code,device_class_label_en,device_subtype_code,device_subtype_label_en,taxonomy_confidence,needs_review,classification_basis,role_codes,procedure_codes
PRD-D41DE241C1,ERBE,"Monopolar Connecting Cable, Bovie Jack 8 mm to Olympus 3 mm, 4 m",20192-117,Therapeutic bronchoscopy,Monopolar cable,electrosurgical,Electrosurgical or APC device,electrosurgical_cable,Electrosurgical connecting cable,high,false,pair_rule,ENERGY_CABLE_ADAPTER,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-D4228B0E6F,Olympus,SmoothShot TBNA Needle,NA-401D-1521,Sampling,Transbronchial aspiration needle,needle,Needle,conventional_tbna_needle,Conventional TBNA needle,high,false,pair_rule,TBNA_NEEDLE_CONVENTIONAL,FLEX_DIAGNOSTIC
PRD-D454A9C046,ERBE,"Argon Gas Cylinder, 5 L, Empty, CGA 580",20132-165,Therapeutic bronchoscopy,Argon gas cylinder,electrosurgical,Electrosurgical or APC device,gas_supply_accessory,Gas supply accessory,high,false,pair_rule,APC_GAS_ACCESSORY,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-D49EB30A21,Olympus,Reusable Cleaning Wire,BW-16C,Reprocessing,Cleaning brush,reprocessing,Reprocessing and cleaning equipment,cleaning_brush,Cleaning brush,high,false,pair_rule,ENDOSCOPE_CLEANING_BRUSH,FLEX_DIAGNOSTIC|THERAPEUTIC_BRONCH
PRD-D4CC0EF49E,Novatech,GSS TF Thin Tracheal Stent,01TF1540,Airway stent,Silicone TF stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,
PRD-D4EABEA7CA,Ethicon,BLAKE Silicone Drain — round 24 Fr,2234,Pleural procedures,Post-operative surgical drain,pleural_drainage,Pleural drainage device,thoracic_catheter,Chest tube (thoracic catheter),moderate,false,pair_rule,CHEST_TUBE_SURGICAL,
PRD-D51CBB0DEE,Medtronic,Shiley Flexible Adult Cuffed Tracheostomy Tube with Reusable Inner Cannula — 5CN70R,5CN70R,Tracheostomy,Cuffed tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffed_tracheostomy_tube,Cuffed tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFED,
PRD-D52ED4EF06,Pulmonx,Chartis Tablet Console,CHR-CO-300,Bronchoscopic lung volume reduction,Collateral ventilation console,console_capital,Console or capital equipment,collateral_ventilation_console,Collateral ventilation console,high,false,pair_rule,COLLATERAL_VENTILATION_SYSTEM,
PRD-D54D46A95B,ERBE,CO2 Gas Bottle Adapter F,20402-060,Therapeutic bronchoscopy,CO2 gas bottle adapter,cryotherapy,Cryotherapy device,cryotherapy_accessory,Cryotherapy system accessory,moderate,false,pair_rule,CRYO_SYSTEM_ACCESSORY,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-D55094A08A,Axess Vision Technology S.A.S.,Broncoflex Agile 3.9/1.4 Single-Use Bronchoscope,20030001,Bronchoscopy platform,Single-use flexible bronchoscope,bronchoscope,Bronchoscope,single_use_video_bronchoscope,Single-use video bronchoscope,high,false,pair_rule,FLEX_SCOPE_SINGLE_USE,
PRD-D5621CD59E,Medtronic,StraightShot M5 Instrument Tray,1899076,Rigid bronchoscopy,Rigid bronchoscopic shaver accessory,powered_shaver,Powered shaver or debrider,shaver_accessory,Shaver accessory,high,false,pair_rule,,
PRD-D5706A45F2,Merit Medical,TAPS Thoracentesis and Paracentesis Set — TAPS-5F-12PT,TAPS-5F-12PT,Pleural procedures,Thoracentesis set,pleural_drainage,Pleural drainage device,thoracentesis_set,Thoracentesis catheter or set,high,false,pair_rule,THORACENTESIS_KIT,
PRD-D58A0A54AA,Richard Wolf,HF Coagulation Suction Tube,844202110,Rigid bronchoscopy,Rigid bronchoscopic shaver instrument,powered_shaver,Powered shaver or debrider,shaver_instrument,Shaver resector instrument,high,false,pair_rule,RIGID_BRONCH_SHAVER,RIGID_BRONCH
PRD-D59133B2EE,CLR Medical,CLR Port Cap,S012-01-015,Pleural procedures,Pleural drainage accessory,pleural_drainage,Pleural drainage device,pleural_drainage_accessory,Pleural drainage accessory,high,false,pair_rule,PLEURAL_DRAINAGE_ACCESSORY,
PRD-D5A436E755,Micro-Tech Endoscopy,Y-Shaped Self-Expanding Tracheal Stent,TT81810,Airway stent,Y-shaped self-expanding metallic airway stent,airway_stent,Airway stent,sems_y_shaped,Y-shaped self-expanding metallic stent,high,false,pair_rule,AIRWAY_STENT_SEMS_COVERED,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-D5A6823E45,Olympus,Rat-Tooth Grasping Forceps,FG-226C,Retrieval,Foreign body retrieval device,forceps_instrument,Forceps and hand instruments,foreign_body_grasping_forceps,Foreign-body grasping forceps,high,false,pair_rule,FOREIGN_BODY_FORCEPS_FLEX,EBV|ICU_BRONCH|RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-D5A822A291,EFER,"Stent introducer tube, red coded",BR2103-3,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,
PRD-D5CBD6E254,Novatech,DUTAU NOVATECH Axial Cap - 10.2 mm,02BRD9107,Rigid bronchoscopy,Axial cap,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-D5DAB48B5B,Teleflex,"Pleur-evac Thoracic Catheter, 28 Fr Trocar",DTRC-28S,Pleural procedures,Surgical thoracic catheter,pleural_drainage,Pleural drainage device,thoracic_catheter,Chest tube (thoracic catheter),high,false,pair_rule,CHEST_TUBE_LARGE_BORE|CHEST_TUBE_SURGICAL,
PRD-D5ED3DC515,Karl Storz,"Broncho-Fiberscope, 6.4 mm x 54 cm",11004BC,Flexible bronchoscopy,Reusable broncho-fiberscope,bronchoscope,Bronchoscope,bronchofiberscope,Bronchofiberscope,high,false,pair_rule,FLEX_SCOPE_DIAGNOSTIC,
PRD-D6183226BF,Teleflex,"Pleur-evac Thoracic Catheter, 10 Fr Trocar",DTRC-10S,Pleural procedures,Surgical thoracic catheter,pleural_drainage,Pleural drainage device,thoracic_catheter,Chest tube (thoracic catheter),high,false,pair_rule,CHEST_TUBE_SMALL_BORE|CHEST_TUBE_SURGICAL,
PRD-D630438171,Olympus,Rat-Tooth Grasping Forceps,FG-214P,Retrieval,Foreign body retrieval device,forceps_instrument,Forceps and hand instruments,foreign_body_grasping_forceps,Foreign-body grasping forceps,high,false,pair_rule,FOREIGN_BODY_FORCEPS_FLEX,EBV|ICU_BRONCH|RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-D630FEC072,Novatech,DUMON ST Hourglass Silicone Stent,09031S,Airway stent,Silicone hourglass stent,airway_stent,Airway stent,silicone_hourglass_stent,Silicone hourglass stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_HOURGLASS,RIGID_BRONCH
PRD-D64A651B55,ICU Medical,Portex BLUselect Uncuffed Fenestrated Tracheostomy Tube Kits with Disconnection Wedge 7,101/818/070,Airway management,Cuffless tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffless_tracheostomy_tube,Cuffless tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFLESS,
PRD-D6F54A6D11,Olympus,BF-H190 Video Bronchoscope,BF-H190,Flexible bronchoscopy,Reusable video bronchoscope,bronchoscope,Bronchoscope,reusable_video_bronchoscope,Reusable video bronchoscope,high,false,pair_rule,FLEX_SCOPE_DIAGNOSTIC,FLEX_DIAGNOSTIC
PRD-D711DF7EE1,EFER,"Stent introducer tube, black coded",BR2101-3,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,
PRD-D723C6FF62,ERBE,"Bipolar Adapter, Standard to Martin/Berchtold/Aesculap",20183-025,Therapeutic bronchoscopy,Bipolar adapter,electrosurgical,Electrosurgical or APC device,electrosurgical_adapter,Electrosurgical adapter,high,false,pair_rule,ENERGY_CABLE_ADAPTER,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-D736275364,Richard Wolf,PANOVIEW Telescope,8465.30,Rigid bronchoscopy,Rigid bronchoscopy telescope,endoscopic_telescope,Endoscopic telescope,rigid_telescope,Rigid bronchoscopy telescope,high,false,pair_rule,RIGID_TELESCOPE,RIGID_BRONCH
PRD-D73935B1E8,Novatech,GSS BD Bronchial Stent,01BD1230,Airway stent,Silicone BD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,
PRD-D7472146DC,FUJIFILM,FUJIFILM EB-710P Video Bronchoscope,EB-710P,Bronchoscopy platform,Flexible video bronchoscope,bronchoscope,Bronchoscope,reusable_video_bronchoscope,Reusable video bronchoscope,high,false,pair_rule,FLEX_SCOPE_DIAGNOSTIC,
PRD-D76BFAD4AA,Novatech,DUMON BD Silicone Airway Stent,03961S,Airway stent,Silicone BD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,RIGID_BRONCH
PRD-D76C39F2B7,ERBE,"APCapplicator, Rigid, 35 mm, Spatula Electrode",20132-250,Therapeutic bronchoscopy,APC applicator,electrosurgical,Electrosurgical or APC device,rigid_apc_applicator,Rigid APC applicator,high,false,pair_rule,APC_APPLICATOR_RIGID,RIGID_BRONCH
PRD-D771E6D06A,Olympus,Single-Use Wire-Sheath Cleaning Brush,BW-400B,Reprocessing,Cleaning brush,reprocessing,Reprocessing and cleaning equipment,cleaning_brush,Cleaning brush,high,false,pair_rule,ENDOSCOPE_CLEANING_BRUSH,FLEX_DIAGNOSTIC|THERAPEUTIC_BRONCH
PRD-D7858C62B6,Medtronic,"Shiley XLT Cuffed Tracheostomy Tube — Extended Proximal, 50 size",50XLTCP,Tracheostomy,Cuffed tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffed_tracheostomy_tube,Cuffed tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFED,
