Category,Image_url,Image Description,article_title,article_url,license,license_url,attribution
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/a8891962aaa9/13244_2017_581_Fig14_HTML.jpg,CT – Hamartoma with Popcorn Calcifications,"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/8693d26e24a2/13244_2017_581_Fig4_HTML.jpg,CT – Intrapulmonary Lymph Nodes (Triangular),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/30923c2527b7/13244_2017_581_Fig7_HTML.jpg,CT – Lobulated RLL Nodule (Adenocarcinoma),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/87afbae14ab3/13244_2017_581_Fig8_HTML.jpg,CT – LUL Lobulated Nodule (Hamartoma),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/0e00/12547799/743d77a0672c/cureus-0017-00000092996-i01.jpg,CT – LUL Mass (Contrast; Axial/Coronal/Sagittal),Navigating Airway Management in Post-tracheostomy Patients: A Case Report and Review of the Literature,https://pmc.ncbi.nlm.nih.gov/articles/PMC12547799/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1935/7681963/87e2709b3649/13019_2020_1360_Fig5_HTML.jpg,CT – Mediastinal Adenopathy (Re‑Examination),Application of endobronchial ultrasound-guided transbronchial needle aspiration in the diagnosis and treatment of mediastinal lymph node tuberculous abscess: a case report and literature review,https://pmc.ncbi.nlm.nih.gov/articles/PMC7681963/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1935/7681963/7c3f438a20fc/13019_2020_1360_Fig1_HTML.jpg,CT – Mediastinal Mass (Re‑Examination),Application of endobronchial ultrasound-guided transbronchial needle aspiration in the diagnosis and treatment of mediastinal lymph node tuberculous abscess: a case report and literature review,https://pmc.ncbi.nlm.nih.gov/articles/PMC7681963/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/22022c8910e1/13244_2017_581_Fig21_HTML.jpg,CT – Subpleural Lobulated Nodule (Adenocarcinoma),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/09f4/12393873/8315e6fd3ad8/cureus-0017-00000091116-i01.jpg,CT – Suspicious Pulmonary Nodule (Right Lung),Dual Indocyanine Green (ICG)-Soaked Coil Placement for the Precise Localization of a Non-subpleural Peripheral Lung Nodule: A Modified Technique in a Case Report,https://pmc.ncbi.nlm.nih.gov/articles/PMC12393873/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/c6ea/12204719/60eea2926913/cureus-0017-00000084993-i01.jpg,CT – SVC/PA Encasement (Middle Mediastinal Mass),"A High-Risk Rigid Bronchoscopy for a Patient With a Mediastinal Mass Causing Superior Vena Cava Syndrome, Lobar Collapse, and Pulmonary Artery Compression: A Case Report",https://pmc.ncbi.nlm.nih.gov/articles/PMC12204719/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/948b/4939552/c6c671eea233/13019_2016_498_Fig1_HTML.jpg,CT – Tracheal Lesion (At Presentation),Management of tracheal chondrosarcoma almost completely obstructing the airway: a case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC4939552/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/3224/11308734/a043ba87d7ba/cureus-0016-00000064150-i01.jpg,CT/CXR – Endobronchial Obstruction,"Tracheal Adenoid Cystic Carcinoma Successfully Treated With the Combined Core Out Technique, Cryoextraction, and Argon Plasma Coagulation: A Case Report",https://pmc.ncbi.nlm.nih.gov/articles/PMC11308734/
