product_id,manufacturer,product_name,catalog_number,prior_visibility_state,verification_grade,market_status,market_confidence,safety_display,safety_action_scope,safety_reference_codes,status_recommendation_gate,role_count,authored_option_count
"PRD-0BA1BB5296","Richard Wolf","TipControl Articulated Grasping Forceps","823400002","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0BCFAC0926","Richard Wolf","Cotton Swab","8295.35","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0C13E4001B","Richard Wolf","Grasping Forceps for Soft Foreign Bodies","8280.47","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0C7A44B87D","ERBE","Bipolar Connecting Cable, Valleylab 2-Pin 28 mm, 4 m, for da Vinci","20196-129","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-0C821995AC","ERBE","ERBECRYO 2 Exhaust Gas Hose, 5 m","20402-007","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-0E6A5953F1","Richard Wolf","Surgical Probe","8383.66","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0EA2B293A4","Karl Storz","Prismatic Light Deflector","10101FA","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0EA65ED2D3","Karl Storz","Flexible Cannula, No Valve","40120NL","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0F20768341","Richard Wolf","TEXAS Optic Element Bundle","825101401","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0F30F277C1","Richard Wolf","Flexible Grasping Forceps","828.651","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","4"
"PRD-0F34939AF6","Karl Storz","Round Spoon Biopsy Forceps","10366L","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0F561988AB","ERBE","Return-Electrode Connecting Cable, Standard, 4 m, Silicone","20194-070","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-0FD6CC7A8E","Karl Storz","HOPKINS Forward-Oblique Telescope","10320BA","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-0FECB0AD06","Karl Storz","Suction Tube with Cut-Off Hole","10383B","hidden","verified_source","likely_current_us","moderate","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-104DF655AD","Olympus","KV-6 Suction Pump","KV-6","hidden","verified_source","current_status_unverified","low","safety_status_unverified","","","review_required","1","0"
"PRD-1058B185EB","Richard Wolf","Motor Handpiece, max 3000 rpm","89951.0001","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1062EA74E3","ERBE","Bipolar Connecting Cable, STORZ MF, 4 m","20196-118","hidden","verified_source","current_status_unverified","moderate","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-107849AF0E","Olympus","OER-Pro Water Filter","MAJ-824","hidden","verified_source","current_status_conflicted","moderate","safety_identity_review_required","family_level","","review_required","2","3"
"PRD-108394A19E","Karl Storz","Sponge Holder 50 cm","10385A","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-10B24D66DD","Karl Storz","Optical Large Sharp Tissue Forceps","10350M","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-112FA15A7C","Micro-Tech Endoscopy","Micro-Tech Partially covered Straight Tracheal Stent","ST02-332-16.060","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-11ADF871FE","Karl Storz","Cotton Applicator 50 cm","10384A","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-12231F4168","Cook Medical","Wayne Pneumothorax Catheter Set – Trocar","G56532","hidden","verified_source","current_status_unverified","low","active_safety_notice","lot_specific","Z-1791-2026","blocked_active_safety_action","1","1"
"PRD-123BAC018B","Richard Wolf","PANOVIEW PLUS Telescope","82514.431","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-125BCF3BDD","Richard Wolf","HEMER Bronchoscope Tube Bundle","8214.0641","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1266378787","Olympus","TC-C4 Series Workstation Set","K10029899","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-129E6C270A","Karl Storz","Single-Use Plastic Collection Device, Pack of 100","10432ED","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","4"
"PRD-12CFCE9A6C","Olympus","WM-DP3 Series Workstation","WM-DP3","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-136C288332","Olympus","TC-C3 Series Workstation Set","K10034676","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-1411E60176","Karl Storz","Suction Tube","10380B","hidden","verified_source","likely_current_us","moderate","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1425225614","ERBE","APC Ignition Test Adapter for VIO D/S, ICC, International","20183-071","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-14D0927E5A","Richard Wolf","Optical Grasping Forceps, Curved Up","82530.0703","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-14ED7EA20B","ERBE","Monopolar Connecting Cable, 3-Pin to 4 mm Socket for Needle/STORZ, 4.5 m","20192-132","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-150ECDCD05","Olympus","SSU-2 Simple Suction Unit","SSU-2","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-1517AA42DA","Teleflex","Arrow-Clarke Thoracentesis Kit","AK-01000-J","hidden","verified_source","current_status_unverified","low","historical_safety_notice","lot_specific","Z-1298-2018","clear","1","1"
"PRD-16096E045B","Verathon","BFlex 2 Slim 3.8 Single-Use Bronchoscope","BFlex 2 Slim 3.8","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","2","5"
"PRD-163DFA98ED","Olympus","OER-Pro ID Chip","MAJ-1546","hidden","verified_source","likely_current_us","moderate","no_exact_action_found_as_of_snapshot","","","clear","2","3"
"PRD-167A020826","Richard Wolf","Optical Universal Forceps, Curved Up","82530.0705","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-16C811C696","Karl Storz","Optical Biopsy Forceps","26072A","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1708F37D2C","ERBE","APCapplicator, Rigid, 100 mm, Spatula Electrode","20132-252","hidden","verified_source","current_status_conflicted","moderate","no_exact_action_found_as_of_snapshot","","","review_required","1","1"
"PRD-17C3809F8C","Karl Storz","Oval Fenestrated Biopsy Forceps","10370P","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-17DB23EBC0","Karl Storz","Bronchial Atomizer, 40 cm","10452B","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1840ABC86D","Olympus","SSU-2 Suction Tubing/Accessory","K7505595","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-18D62EB4E8","Richard Wolf","Fiber Light Cable Bundle, 2.5 mm x 2.3 m","806625231","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-18F33007D6","Richard Wolf","WOLF Bronchoscope Tube Bundle","8214.0821","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
