product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,udi_assessment,listing_assessment,authorization_finding,manufacturer_finding,conflict_flags,safety_search_status,safety_action_state,safety_action_scope,safety_action_references,visibility_review_eligibility,rationale,unresolved_questions,proposed_human_review_disposition,source_urls,canonical_change_applied
PRD-1F48992C6C,Cardinal Health,"Argyle PVC Thoracic Catheter – Straight, 20 Fr × 20 in",8888570523,,insufficient_evidence,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,search_incomplete,premarket_exempt,not_searched,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210884521050839%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22JOL%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521050836%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521050839%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521149437%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228888570523%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521060831%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521050836%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521050839%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228888570523%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521149437%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521060831%22&limit=100,false
PRD-2C4537F4D4,Olympus,Peripheral Biopsy Forceps,FB-433D,,current_status_conflicted,moderate,exact_manufacturer_model_number,conflicting_exact_configuration_statuses,search_incomplete,not_found,family_only_current,package_configuration|distribution,searched,no_exact_action_found,unknown,,not_applicable,"Identity method: exact_manufacturer_model_number. UDI assessment: conflicting_exact_configuration_statuses. Manufacturer finding: family_only_current. Conflicting package, distribution, identity, or source evidence prevents a current-status conclusion.",Which exact package/configuration status is current in the United States?,keep_hidden_conflicting,https://medical.olympusamerica.com/procedure/peripheral-bronchoscopy-radial-ebus|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170401954%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOB%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2214953170401951%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170401954%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170394539%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2214953170394536%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170394539%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2214953170394536%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2214953170401951%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170401954%22&limit=100,false
PRD-3A27A7B76D,Cardinal Health,"Argyle PVC Thoracic Catheter – Straight, 24 Fr × 20 in",8888570531,,insufficient_evidence,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,search_incomplete,premarket_exempt,not_searched,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570531%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570531%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570531%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2220884521047126%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570531%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22JOL%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521060848%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521047129%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228888570531%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521047126%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521149444%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521149444%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521060848%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228888570531%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521047126%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521047129%22&limit=100,false
PRD-3EDAA08D62,Cardinal Health,"Argyle PVC Thoracic Catheter – Straight, 16 Fr × 20 in",8888570515,,insufficient_evidence,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,search_incomplete,premarket_exempt,not_searched,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570515%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570515%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210884521050822%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570515%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570515%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22JOL%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521050829%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521050822%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521060824%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521149413%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228888570515%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521149413%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521060824%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521050829%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228888570515%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521050822%22&limit=100,false
PRD-427A070734,Karl Storz,"Autoclavable Plastic Cannula, Pack of 5",30120X,,insufficient_evidence,low,exact_manufacturer_catalog_number,all_exact_configurations_active,search_incomplete,not_found,family_only_current,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: family_only_current. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551457283%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2230120X%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2230120X%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2230120X%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GCJ%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22GCJ%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2230120+X%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551119891%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551254684%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551457290%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551457283%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551254684%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551457283%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551119891%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2230120+X%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551457290%22&limit=100,false
PRD-6C9FB1DC9F,Cardinal Health,"Argyle PVC Thoracic Catheter – Straight, 36 Fr × 20 in",8888570564,,identity_unresolved,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,search_incomplete,premarket_exempt,not_searched,identity|manufacturer,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: not_searched. Plausible records could not be tied conservatively to the exact catalog product.,Can the manufacturer confirm the exact U.S. catalog/model identity?,keep_hidden_identity_unresolved,https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570564%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570564%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570564%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570564%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210192253003628%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570564%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22JOL%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521050867%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228888570564%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210192253003628%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521149529%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521060879%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521050860%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521050860%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521050867%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521149529%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228888570564%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210192253003628%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521060879%22&limit=100,false
