product_id,role_code,role_fit,notes
PRD-EB0DE6C03A,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-071DA49031,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-3D8AEACE11,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-3296D18171,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-3402724B0E,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-91F4E30038,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-BB4B62BE1F,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-B53F0F16C8,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-CBA9A6E9B4,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-A5D3D731DC,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-AF70FFC15E,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-C1653676C1,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-948F3069B3,AIRWAY_STENT_SEMS_COVERED,Primary,
PRD-DD4AFE7DE4,CHEST_TUBE_SURGICAL,Primary,
PRD-6DAF9E3AA4,CHEST_TUBE_SURGICAL,Primary,
PRD-9F5884AD09,CHEST_TUBE_SURGICAL,Primary,
PRD-3EDAA08D62,CHEST_TUBE_SURGICAL,Primary,
PRD-1F48992C6C,CHEST_TUBE_SURGICAL,Primary,
PRD-3A27A7B76D,CHEST_TUBE_SURGICAL,Primary,
PRD-8776B50EA8,CHEST_TUBE_SURGICAL,Primary,
PRD-C73E87B7EE,CHEST_TUBE_SURGICAL,Primary,
PRD-6C9FB1DC9F,CHEST_TUBE_SURGICAL,Primary,
PRD-90D21D9281,CHEST_TUBE_SURGICAL,Primary,
PRD-F8B8727229,CHEST_TUBE_SURGICAL,Primary,
PRD-0BAE92E0E1,SPECIMEN_TRAP,Primary,
PRD-FD34401E04,PLEURAL_DRAINAGE_ACCESSORY,Primary,
PRD-7518A5B1E1,PNEUMOTHORAX_KIT,Primary,
PRD-F008B12AC0,CHEST_TUBE_LARGE_BORE,Primary,
PRD-6F32150552,PNEUMOTHORAX_KIT,Primary,
PRD-1CCEDCCC76,PLEURAL_DRAINAGE_ACCESSORY,Primary,
PRD-070884900C,PLEURAL_DRAINAGE_ACCESSORY,Primary,
PRD-70B4B5EA83,CHEST_TUBE_LARGE_BORE,Primary,
PRD-6DBE766019,CHEST_TUBE_LARGE_BORE,Primary,
PRD-FE028163EB,CHEST_TUBE_LARGE_BORE,Primary,
PRD-BDA5B2EF14,CHEST_TUBE_SMALL_BORE,Primary,
PRD-49A7F962D0,CHEST_TUBE_LARGE_BORE,Primary,
PRD-9428EBB5CF,PLEURAL_DRAINAGE_ACCESSORY,Primary,
PRD-848FD7C902,PNEUMOTHORAX_KIT,Primary,
PRD-F82300D570,EBUS_NEEDLE_FNA,Exact,Current manufacturer EBUS needle configuration
PRD-F3307DB1D4,EBUS_NEEDLE_FNA,Exact,Current manufacturer EBUS needle configuration
PRD-2D0C9B936A,EBUS_NEEDLE_FNA,Exact,Current manufacturer EBUS needle configuration
PRD-3F51C7D66F,EBUS_NEEDLE_FNA,Exact,Current manufacturer EBUS needle configuration
PRD-5CC8131FDE,EBUS_NEEDLE_FNA,Exact,Current manufacturer EBUS needle configuration
PRD-2DA93F54B9,EBUS_NEEDLE_FNA,Exact,Current manufacturer EBUS needle configuration
PRD-F351B4D76F,CHEST_TUBE_SMALL_BORE,Primary,
PRD-6CF2953F5E,ENDOBRONCHIAL_BLOCKER,Exact,Manufacturer blocker set
PRD-C41140BA51,ENDOBRONCHIAL_BLOCKER,Exact,Manufacturer blocker set
PRD-85248E91BA,ENDOBRONCHIAL_BLOCKER,Exact,Manufacturer blocker set
PRD-448C184685,ENDOBRONCHIAL_BLOCKER,Exact,Manufacturer blocker set
PRD-86388D0916,EBUS_NEEDLE_FNA,Exact,Current manufacturer EBUS needle configuration
PRD-19AC7F0794,EBUS_NEEDLE_FNA,Exact,Current manufacturer EBUS needle configuration
PRD-0410844D48,CHEST_TUBE_SMALL_BORE,Primary,Fuhrman pigtail pleural drainage series.
PRD-F7FFFFA87F,CHEST_TUBE_SMALL_BORE,Primary,Fuhrman pigtail pleural drainage series.
PRD-993D8701CA,CHEST_TUBE_SMALL_BORE,Primary,Fuhrman pigtail pleural drainage series.
PRD-C0FA666A98,CHEST_TUBE_SMALL_BORE,Primary,Fuhrman pigtail pleural drainage series.
PRD-12231F4168,PNEUMOTHORAX_KIT,Primary,
PRD-8C6C29BE46,PNEUMOTHORAX_KIT,Primary,
PRD-6AAA7898E9,PDT_KIT,Primary,
PRD-8446D3EB4E,PDT_KIT,Primary,
PRD-C4C8CC5CF5,PDT_KIT,Primary,
PRD-B68F5C38B4,RIGID_BRONCHOSCOPE_ACCESSORY,Primary,
PRD-40F16EE5D5,RIGID_BRONCHOSCOPE_HEAD,Primary,
PRD-6C1DE73547,RIGID_BRONCHOSCOPE_ACCESSORY,Primary,
PRD-B21BCEFB54,APC_GAS_ACCESSORY,Primary,
PRD-9DA3B7C48B,APC_GAS_ACCESSORY,Primary,
PRD-B79F76C6D6,APC_GAS_ACCESSORY,Primary,
PRD-456C006CCE,ENERGY_CABLE_ADAPTER,Primary,
PRD-9349B7D1F6,ENERGY_CABLE_ADAPTER,Primary,
PRD-D454A9C046,APC_GAS_ACCESSORY,Primary,
PRD-78096620FF,APC_GAS_ACCESSORY,Primary,
PRD-7A53694B65,ENERGY_CABLE_ADAPTER,Primary,
PRD-A48A455A5E,APC_PROBE_FLEX,Primary,
PRD-5445BFA070,APC_PROBE_FLEX,Primary,
PRD-C3FDFF59E0,APC_PROBE_FLEX,Primary,
PRD-3A183102CF,APC_PROBE_FLEX,Primary,
PRD-DE4182B356,APC_PROBE_FLEX,Primary,
PRD-C492434340,APC_PROBE_FLEX,Primary,
PRD-99494D8DD0,APC_PROBE_FLEX,Primary,
PRD-63E9945A0A,ENERGY_CABLE_ADAPTER,Primary,
PRD-EC8FB40FB0,ENERGY_CABLE_ADAPTER,Primary,
PRD-D76C39F2B7,APC_APPLICATOR_RIGID,Primary,
PRD-8C5BA93DCA,APC_APPLICATOR_RIGID,Primary,
PRD-1708F37D2C,APC_APPLICATOR_RIGID,Primary,
PRD-D7F9A3A5D0,APC_APPLICATOR_RIGID,Primary,
PRD-2218769436,APC_APPLICATOR_RIGID,Primary,
PRD-D9A63C6C45,APC_APPLICATOR_RIGID,Primary,
PRD-A83D0CAAC1,APC_APPLICATOR_RIGID,Primary,
PRD-DC7D6310BB,APC_APPLICATOR_RIGID,Primary,
PRD-21F6CB5BAC,APC_PROBE_FLEX,Primary,
PRD-19BAA6E1D6,APC_PROBE_FLEX,Primary,
PRD-4E9412A49F,APC_PROBE_FLEX,Primary,
PRD-5AB3F8988B,APC_PROBE_FLEX,Primary,
PRD-207F57235E,APC_GAS_ACCESSORY,Primary,
PRD-83ADF2581C,APC_GAS_ACCESSORY,Primary,
PRD-1BD0F9BD70,APC_GAS_ACCESSORY,Primary,
PRD-3CAAB4D79C,APC_GAS_ACCESSORY,Primary,
PRD-55E5D08ADC,APC_GAS_ACCESSORY,Primary,
PRD-09AF1B1AE5,APC_GAS_ACCESSORY,Primary,
PRD-293EEBCDF0,APC_GAS_ACCESSORY,Primary,
PRD-913352C891,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-D723C6FF62,ENERGY_CABLE_ADAPTER,Primary,
PRD-E5D003B78D,ENERGY_CABLE_ADAPTER,Primary,
PRD-EE226986CB,ENERGY_CABLE_ADAPTER,Primary,
PRD-E4FE22C28D,ENERGY_CABLE_ADAPTER,Primary,
PRD-704E468EF5,ENERGY_CABLE_ADAPTER,Primary,
PRD-574BC79D2B,ENERGY_CABLE_ADAPTER,Primary,
PRD-27460DB568,ENERGY_CABLE_ADAPTER,Primary,
PRD-DCA951086F,ENERGY_CABLE_ADAPTER,Primary,
PRD-1425225614,ENERGY_CABLE_ADAPTER,Primary,
PRD-DA396EF06D,ENERGY_CABLE_ADAPTER,Primary,
PRD-6BC32547CD,ENERGY_CABLE_ADAPTER,Primary,
PRD-40F9EDE43C,ENERGY_CABLE_ADAPTER,Primary,
PRD-6DF43B832B,ENERGY_CABLE_ADAPTER,Primary,
PRD-27BD1F9DB6,ENERGY_CABLE_ADAPTER,Primary,
PRD-BBCDFBC541,ENERGY_CABLE_ADAPTER,Primary,
PRD-24DF8E0987,ENERGY_CABLE_ADAPTER,Primary,
PRD-95ADE8F814,ENERGY_CABLE_ADAPTER,Primary,
PRD-F9C809D277,ENERGY_CABLE_ADAPTER,Primary,
PRD-CB585AE377,ENERGY_CABLE_ADAPTER,Primary,
PRD-E91AF4A4B3,ENERGY_CABLE_ADAPTER,Primary,
PRD-D41DE241C1,ENERGY_CABLE_ADAPTER,Primary,
PRD-DA3218ED45,ENERGY_CABLE_ADAPTER,Primary,
PRD-D85D52F0CD,ENERGY_CABLE_ADAPTER,Primary,
PRD-14ED7EA20B,ENERGY_CABLE_ADAPTER,Primary,
PRD-241DE5F6DF,ENERGY_CABLE_ADAPTER,Primary,
PRD-A1BB9D424D,ENERGY_CABLE_ADAPTER,Primary,
PRD-D063F090C6,ENERGY_CABLE_ADAPTER,Primary,
PRD-0F561988AB,ENERGY_CABLE_ADAPTER,Primary,
PRD-71FB94BD46,ENERGY_CABLE_ADAPTER,Primary,
PRD-CDCBBB4171,ENERGY_CABLE_ADAPTER,Primary,
PRD-D194D5A02B,ENERGY_CABLE_ADAPTER,Primary,
PRD-415D12A635,ENERGY_CABLE_ADAPTER,Primary,
PRD-4D06DCE96B,ENERGY_CABLE_ADAPTER,Primary,
PRD-8905E9BA40,ENERGY_CABLE_ADAPTER,Primary,
PRD-E060DC2383,ENERGY_CABLE_ADAPTER,Primary,
PRD-EC8645595D,ENERGY_CABLE_ADAPTER,Primary,
PRD-27BE0EC96A,ENERGY_CABLE_ADAPTER,Primary,
PRD-BCD783DD13,ENERGY_CABLE_ADAPTER,Primary,
PRD-19D03D9B14,ENERGY_CABLE_ADAPTER,Primary,
PRD-A24DAA76C6,ENERGY_CABLE_ADAPTER,Primary,
PRD-9DCC5EC86C,ENERGY_CABLE_ADAPTER,Primary,
PRD-486F6703A9,ENERGY_CABLE_ADAPTER,Primary,
PRD-57A313D4DB,ENERGY_CABLE_ADAPTER,Primary,
PRD-0A9806F6F2,ENERGY_CABLE_ADAPTER,Primary,
PRD-E27A6FA17A,ENERGY_CABLE_ADAPTER,Primary,
PRD-0ADECF7C68,ENERGY_CABLE_ADAPTER,Primary,
PRD-6F4B58CFF2,ENERGY_CABLE_ADAPTER,Primary,
PRD-3353BDD6CD,ENERGY_CABLE_ADAPTER,Primary,
PRD-695BD279A8,ENERGY_CABLE_ADAPTER,Primary,
PRD-88D778F3A4,ENERGY_CABLE_ADAPTER,Primary,
PRD-93A3E7F825,ENERGY_CABLE_ADAPTER,Primary,
PRD-79B8CF6846,ENERGY_CABLE_ADAPTER,Primary,
PRD-1DDAD96A7B,ENERGY_CABLE_ADAPTER,Primary,
PRD-535FE6B186,ENERGY_CABLE_ADAPTER,Primary,
PRD-E94BC99DC8,ENERGY_CABLE_ADAPTER,Primary,
PRD-1062EA74E3,ENERGY_CABLE_ADAPTER,Primary,
PRD-E0E5A0320D,ENERGY_CABLE_ADAPTER,Primary,
PRD-C47EB33229,ENERGY_CABLE_ADAPTER,Primary,
PRD-4896D3D636,ENERGY_CABLE_ADAPTER,Primary,
PRD-0C7A44B87D,ENERGY_CABLE_ADAPTER,Primary,
PRD-77DCFC650E,ENERGY_CABLE_ADAPTER,Primary,
PRD-0C821995AC,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-C684D9ADCF,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-C3FB38433F,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-D54D46A95B,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-5AEEF62066,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-DA286027ED,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-5DFC2E8E8B,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-B68845E997,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-A2C49C9352,CRYOPROBE_FLEX,Primary,
PRD-6C2199C862,CRYOPROBE_FLEX,Primary,
PRD-7DC3645CFA,CRYOPROBE_FLEX,Primary,
PRD-05670F1B5F,CRYOPROBE_FLEX,Primary,
PRD-9AE343BC8D,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-3097FD9A2E,CRYO_SYSTEM_ACCESSORY,Primary,
